,0_x,0_y
"('2021 Covid-19', 'Covid-19')",818,100.0
"('2021 Non Covid-19', 'General (theoretical model)')",97,31.907894736842106
"('2021 Non Covid-19', 'Malaria')",22,7.236842105263158
"('2021 Non Covid-19', 'Dengue')",20,6.578947368421052
"('2021 Non Covid-19', 'Influenza illnesses')",20,6.578947368421052
"('2021 Non Covid-19', 'Unspecified (super-category)')",13,4.276315789473684
"('2021 Non Covid-19', 'HIV')",11,3.618421052631579
"('2021 Non Covid-19', 'HFMD')",10,3.289473684210526
"('2021 Non Covid-19', 'Multiple different agents')",10,3.289473684210526
"('2021 Non Covid-19', 'TB and mycobacteria')",8,2.631578947368421
"('2021 Non Covid-19', 'Vector')",6,1.9736842105263157
"('2021 Non Covid-19', 'Measles')",5,1.644736842105263
"('2021 Non Covid-19', 'Rabies/ Lyssavirus')",5,1.644736842105263
"('2021 Non Covid-19', 'Schistomiasis')",5,1.644736842105263
"('2021 Non Covid-19', 'West Nile virus')",5,1.644736842105263
"('2021 Non Covid-19', 'Ebola')",4,1.3157894736842104
"('2021 Non Covid-19', 'RSV')",4,1.3157894736842104
"('2021 Non Covid-19', 'HFRS')",3,0.9868421052631579
"('2021 Non Covid-19', 'Leprosy')",3,0.9868421052631579
"('2021 Non Covid-19', 'Leptospirosis')",3,0.9868421052631579
"('2021 Non Covid-19', 'Mumps')",3,0.9868421052631579
"('2021 Non Covid-19', 'Resistant bacteria')",3,0.9868421052631579
"('2021 Non Covid-19', 'Brucellosis')",2,0.6578947368421052
"('2021 Non Covid-19', 'Clostridioides difficile')",2,0.6578947368421052
"('2021 Non Covid-19', 'Gonorrhea')",2,0.6578947368421052
"('2021 Non Covid-19', 'Leishmaniasis')",2,0.6578947368421052
"('2021 Non Covid-19', 'Lumpy skin disease')",2,0.6578947368421052
"('2021 Non Covid-19', 'Polio')",2,0.6578947368421052
"('2021 Non Covid-19', 'Rotavirus')",2,0.6578947368421052
"('2021 Non Covid-19', 'Syphilis')",2,0.6578947368421052
"('2021 Non Covid-19', 'Zika')",2,0.6578947368421052
"('2021 Non Covid-19', 'Adenovirus')",1,0.3289473684210526
"('2021 Non Covid-19', 'African trypanosomiasis')",1,0.3289473684210526
"('2021 Non Covid-19', 'Anthrax')",1,0.3289473684210526
"('2021 Non Covid-19', 'Aspergillus')",1,0.3289473684210526
"('2021 Non Covid-19', 'Bordetella pertussis')",1,0.3289473684210526
"('2021 Non Covid-19', 'Borrelia burgdorferi')",1,0.3289473684210526
"('2021 Non Covid-19', 'Bubonic plague')",1,0.3289473684210526
"('2021 Non Covid-19', 'Chagas')",1,0.3289473684210526
"('2021 Non Covid-19', 'Chikungunya')",1,0.3289473684210526
"('2021 Non Covid-19', 'Chlamydia')",1,0.3289473684210526
"('2021 Non Covid-19', 'Hepatitis B')",1,0.3289473684210526
"('2021 Non Covid-19', 'Hepatitis C')",1,0.3289473684210526
"('2021 Non Covid-19', 'Japanese encephalitis')",1,0.3289473684210526
"('2021 Non Covid-19', 'Lassa fever')",1,0.3289473684210526
"('2021 Non Covid-19', 'MERS')",1,0.3289473684210526
"('2021 Non Covid-19', 'Nocardia')",1,0.3289473684210526
"('2021 Non Covid-19', 'Rift valley fever')",1,0.3289473684210526
"('2021 Non Covid-19', 'Rubella')",1,0.3289473684210526
"('2021 Non Covid-19', 'SARS')",1,0.3289473684210526
"('2021 Non Covid-19', 'Salmonellosis')",1,0.3289473684210526
"('2021 Non Covid-19', 'Small pox')",1,0.3289473684210526
"('2021 Non Covid-19', 'Streptococcus')",1,0.3289473684210526
"('2021 Non Covid-19', 'Taenia solium')",1,0.3289473684210526
"('2021 Non Covid-19', 'Trichinellosis')",1,0.3289473684210526
"('2021 Non Covid-19', 'Typhus')",1,0.3289473684210526
"('2021 Non Covid-19', 'Yellow fever')",1,0.3289473684210526
