,open_code_statements,PMID
854,data availability data and supporting materials necessary to reproduce the results are made available at https://github com/peng-fangyuan/covid-19_control_strategies .;     outbreaks covid-19 data availability data and supporting materials necessary to reproduce the results are made available at https://github com/peng-fangyuan/covid-19_control_strategies .;     data and supporting materials necessary to reproduce the results are made available at https://github com/peng-fangyuan/covid-19_control_strategies .,34242278
877,code repository is accessible through github at https://github com/sportingcode/covid-19_dynamicssimulation git and is targeted to a general audience of non-expert users thus enabling other researchers to further develop and extend the source code 2 2 1 the mathematical modelling for the dynamics of an infective epidemic started with the pioneer kermack-mckendirck model [ ] which provided the basis for a variety of widespread deterministic compartmental models known as sir (susceptible-infected-recovered) models.;     since this tiered framework has been uniformly applied on a national scale it led to high-quality data available at a regional level which in turn can be analyzed in parallel to increase the reliability of the parameters estimation 5 5 1 the time-series data for the coronavirus disease (covid-19) were obtained from the covid-19 data repository by the center for systems science and engineering (csse) at johns hopkins university available at https://github com/cssegisanddata/covid-19 .;     the r-code of the sir model and the a-sir model is open-source and freely available at https://github com/sportingcode/covid-19_dynamicssimulation git .,34303266
883,data availability statement the dataset compiled and used in this paper is made publicly available from the author's personal repository at https://github com/interglobe07/covid-19-data-korea and is being regularly updated.,34269629
957,curvature was calculated in the sense of discrete ollivier-ricci curvature with a python code freely available at https://github com/saibalmars/graphriccicurvature .,34403783
964,data availability all simulations of our model are available at https://github com/kukain/modeling_in_python .;     outbreaks covid-19 data availability all simulations of our model are available at https://github com/kukain/modeling_in_python .,34407115
974,section 6 is the discussion and conclusion 2 2 1 data on the covid-19 pandemic is available from the github repository managed by the john hopkins university was collected for the modeling.,35083430
993,epidemiological data about the covid-19 evolution are available in the github repository of the italian civil protection department [ ].;     the code for running crc and the seirl-v model of covid-19 is available at https://github com/fortunatobianconi/crc (accessed on 7 june 2021).,34452040
1028,daily counts on r q h icu d can be downloaded from the following repository https://github com/pcm-dpc/covid-19/ .;     for reproducibility purposes the code to estimate the proposed models written for the open source software r 49 is available from the github repository at the following link https://github com/francescobartolucci/armultinomial .,34374438
1069,our implementation of the above equations in python is a slightly modified version of the code available on the gru-d paper's [ ] github repository.,34449401
1162,all the computer codes that generate the results in this paper are available at the author's github repository ( ) 2 5 to account for intensification of the intervention such as case isolation and contact tracing with subsequent testing during the outbreak we assumed case isolation rate (1 / mean time between symptom onset and case isolation) and transmission rate of the infectious people per unit time change over time.,34742106
1225,the model itself can be accessed at github ( https://github com/rmsalter/seivagent_distribution ) where instructions are available for launching and using our seivagent application 3 3 1 3 1 1 .,34814729
1257,this is a scaling adjustment that does not affect the fit but removes the effect of the size of the population on the k and parameters3 the matlab code is available on the website: https://sites google com/york ac uk/adam-golinski/coronametrics4 reflecting this our preliminary analysis of the data conducted in real time suggested that the logistic model offered a useful tool for analyzing the initial spread of the virus helping to identify the peak and to make tentative short-range forecasts.,34428329
1266,data availability statement all data were uploaded as supplementary materials and codes were posted in the github repository. data availability statement all data were uploaded as supplementary materials and codes were posted in the github repository.,34886437
1313,the source code is available on gitlab: https://gitlab com/alnindra/covdyn_abm/ (accessed on 15 october 2020).,34960207
