,PMID,Eligible,Model,Disease,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
10,35052076,Yes,Time Series,Covid-19,Complexity of COVID-19 Dynamics,"Sivakumar B, Deepthi B.",Entropy (Basel). 2021 Dec 27;24(1):50. doi: 10.3390/e24010050.,Sivakumar B,Entropy (Basel),2021,2022/01/21,PMC8775155,,10.3390/e24010050
11,35039781,Yes,Compartmental,Covid-19,Modelling the impact of social distancing and targeted vaccination on the spread of COVID-19 through a real city-scale contact network,"Hartnett GS, Parker E, Gulden TR, Vardavas R, Kravitz D.",J Complex Netw. 2021 Dec 13;9(6):cnab042. doi: 10.1093/comnet/cnab042. eCollection 2021 Dec.,Hartnett GS,J Complex Netw,2021,2022/01/18,PMC8754788,,10.1093/comnet/cnab042
12,35036527,Yes,Time Series,Covid-19,Comparative analysis of machine learning approaches to analyze and predict the COVID-19 outbreak,"Naeem M, Yu J, Aamir M, Khan SA, Adeleye O, Khan Z.",PeerJ Comput Sci. 2021 Dec 16;7:e746. doi: 10.7717/peerj-cs.746. eCollection 2021.,Naeem M,PeerJ Comput Sci,2021,2022/01/17,PMC8725668,,10.7717/peerj-cs.746
13,35036159,Yes,Spatiotemporal,Covid-19,Spatiotemporal patterns of the COVID-19 epidemic in Mexico at the municipality level,"Mas JF, Pérez-Vega A.",PeerJ. 2021 Dec 24;9:e12685. doi: 10.7717/peerj.12685. eCollection 2021.,Mas JF,PeerJ,2021,2022/01/17,PMC8711283,,10.7717/peerj.12685
14,35028196,Yes,Compartmental,Covid-19,A Hybrid Approach Toward COVID-19 Pandemic Modeling in Saudi Arabia Using the Modified Susceptible-Exposed-Infectious-Recovered Model and Open Data Sources,"Ahmad N, Qahmash A.",Cureus. 2021 Dec 8;13(12):e20279. doi: 10.7759/cureus.20279. eCollection 2021 Dec.,Ahmad N,Cureus,2021,2022/01/14,PMC8748003,,10.7759/cureus.20279
15,35010675,Yes,Time Series,Leprosy,Application of the ARIMA Model to Predict Under-Reporting of New Cases of Hansen's Disease during the COVID-19 Pandemic in a Municipality of the Amazon Region,"da Cunha VP, Botelho GM, de Oliveira AHM, Monteiro LD, de Barros Franco DG, da Costa Silva R.",Int J Environ Res Public Health. 2021 Dec 31;19(1):415. doi: 10.3390/ijerph19010415.,da Cunha VP,Int J Environ Res Public Health,2021,2022/01/11,PMC8744825,,10.3390/ijerph19010415
16,35010600,Yes,Time Series,Dengue,Weather Factors Associated with Reduced Risk of Dengue Transmission in an Urbanized Tropical City,"Gui H, Gwee S, Koh J, Pang J.",Int J Environ Res Public Health. 2021 Dec 29;19(1):339. doi: 10.3390/ijerph19010339.,Gui H,Int J Environ Res Public Health,2021,2022/01/11,PMC8751148,,10.3390/ijerph19010339
17,35005324,Yes,Compartmental,Covid-19,"Stochastic modeling, analysis, and simulation of the COVID-19 pandemic with explicit behavioral changes in Bogotá: A case study","Niño-Torres D, Ríos-Gutiérrez A, Arunachalam V, Ohajunwa C, Seshaiyer P.",Infect Dis Model. 2022 Mar;7(1):199-211. doi: 10.1016/j.idm.2021.12.008. Epub 2021 Dec 31.,Niño-Torres D,Infect Dis Model,2022,2022/01/10,PMC8718868,,10.1016/j.idm.2021.12.008
18,34988255,Yes,Spatiotemporal,Covid-19,Delay in the Effect of Restricting Community Mobility on the Spread of COVID-19 During the First Wave in the United States,"He S, Lee J, Langworthy B, Xin J, James P, Yang Y, Wang M.",Open Forum Infect Dis. 2021 Nov 22;9(1):ofab586. doi: 10.1093/ofid/ofab586. eCollection 2022 Jan.,He S,Open Forum Infect Dis,2021,2022/01/06,PMC8714371,,10.1093/ofid/ofab586
19,34977848,Yes,Agent-based,Covid-19,COVID-19 hospitalizations and deaths averted under an accelerated vaccination program in northeastern and southern regions of the USA,"Vilches TN, Sah P, Moghadas SM, Shoukat A, Fitzpatrick MC, Hotez PJ, Schneider EC, Galvani AP.",Lancet Reg Health Am. 2022 Feb;6:100147. doi: 10.1016/j.lana.2021.100147. Epub 2021 Dec 29.,Vilches TN,Lancet Reg Health Am,2022,2022/01/03,PMC8714489,,10.1016/j.lana.2021.100147
20,34977844,Yes,Compartmental,Covid-19,"A death, infection, and recovery (DIR) model to forecast the COVID-19 spread","Shams F, Abbas A, Khan W, Khan US, Nawaz R.",Comput Methods Programs Biomed Update. 2022;2:100047. doi: 10.1016/j.cmpbup.2021.100047. Epub 2021 Dec 28.,Shams F,Comput Methods Programs Biomed Update,2022,2022/01/03,PMC8713423,,10.1016/j.cmpbup.2021.100047
21,34975234,Yes,Agent-based,General (theoretical model),A symbiosis between cellular automata and dynamic weighted multigraph with application on virus spread modeling,"Moghari S, Ghorani M.",Chaos Solitons Fractals. 2022 Feb;155:111660. doi: 10.1016/j.chaos.2021.111660. Epub 2021 Dec 26.,Moghari S,Chaos Solitons Fractals,2022,2022/01/03,PMC8710307,,10.1016/j.chaos.2021.111660
22,34973454,Yes,Spatiotemporal,Covid-19,Tracking and controlling the spatiotemporal spread of SARS-CoV-2 Omicron variant in South Africa,"Tong C, Shi W, Zhang A, Shi Z.",Travel Med Infect Dis. 2022 Mar-Apr;46:102252. doi: 10.1016/j.tmaid.2021.102252. Epub 2021 Dec 30.,Tong C,Travel Med Infect Dis,2022,2022/01/01,PMC8716148,,10.1016/j.tmaid.2021.102252
23,34963680,Yes,Compartmental,Covid-19,A single-agent extension of the SIR model describes the impact of mobility restrictions on the COVID-19 epidemic,"Paoluzzi M, Gnan N, Grassi F, Salvetti M, Vanacore N, Crisanti A.",Sci Rep. 2021 Dec 28;11(1):24467. doi: 10.1038/s41598-021-03721-x.,Paoluzzi M,Sci Rep,2021,2021/12/29,PMC8714823,,10.1038/s41598-021-03721-x
24,34961844,Yes,Time Series,Covid-19,Forecasting the spread of the third wave of COVID-19 pandemic using time series analysis in Bangladesh,"Kibria HB, Jyoti O, Matin A.",Inform Med Unlocked. 2022;28:100815. doi: 10.1016/j.imu.2021.100815. Epub 2021 Dec 22.,Kibria HB,Inform Med Unlocked,2022,2021/12/28,PMC8694818,,10.1016/j.imu.2021.100815
25,34961835,Yes,Compartmental,General (theoretical model),An algorithm for the direct estimation of the parameters of the SIR epidemic model from the I(t) dynamics,Schmitt FG.,Eur Phys J Plus. 2022;137(1):57. doi: 10.1140/epjp/s13360-021-02237-7. Epub 2021 Dec 23.,Schmitt FG,Eur Phys J Plus,2022,2021/12/28,PMC8696977,,10.1140/epjp/s13360-021-02237-7
26,34961800,Yes,Compartmental,General (theoretical model),Ziegler and Nichols meet Kermack and McKendrick: Parsimony in dynamic models for epidemiology,Nikolaou M.,Comput Chem Eng. 2022 Jan;157:107615. doi: 10.1016/j.compchemeng.2021.107615. Epub 2021 Dec 1.,Nikolaou M,Comput Chem Eng,2022,2021/12/28,PMC8696265,,10.1016/j.compchemeng.2021.107615
27,34960207,Yes,Agent-based,Covid-19,Expected Evolution of COVID-19 Epidemic in France for Several Combinations of Vaccination Strategies and Barrier Measures,"Pageaud S, Pothier C, Rigotti C, Eyraud-Loisel A, Bertoglio JP, Bienvenüe A, Leboisne N, Ponthus N, Gauchon R, Gueyffier F, Vanhems P, Iwaz J, Loisel S, Roy P, On Behalf Of The Group CovDyn Covid Dynamics.",Vaccines (Basel). 2021 Dec 10;9(12):1462. doi: 10.3390/vaccines9121462.,Pageaud S,Vaccines (Basel),2021,2021/12/28,PMC8708137,,10.3390/vaccines9121462
28,34954344,Yes,Compartmental,Covid-19,The cost-effectiveness of social distancing measures for mitigating the COVID-19 pandemic in a highly-populated country: A case study in Indonesia,"Suwantika AA, Dhamanti I, Suharto Y, Purba FD, Abdulah R.",Travel Med Infect Dis. 2022 Jan-Feb;45:102245. doi: 10.1016/j.tmaid.2021.102245. Epub 2021 Dec 23.,Suwantika AA,Travel Med Infect Dis,2022,2021/12/26,PMC8695594,,10.1016/j.tmaid.2021.102245
29,34954184,Yes,Spatiotemporal,Covid-19,A spatiotemporally resolved infection risk model for airborne transmission of COVID-19 variants in indoor spaces,"Li X, Lester D, Rosengarten G, Aboltins C, Patel M, Cole I.",Sci Total Environ. 2022 Mar 15;812:152592. doi: 10.1016/j.scitotenv.2021.152592. Epub 2021 Dec 23.,Li X,Sci Total Environ,2022,2021/12/26,PMC8695516,,10.1016/j.scitotenv.2021.152592
30,34953536,Yes,Time Series,Covid-19,"All-cause mortality during the COVID-19 pandemic in Chennai, India: an observational study","Lewnard JA, Mahmud A, Narayan T, Wahl B, Selvavinayagam TS, Mohan B C, Laxminarayan R.",Lancet Infect Dis. 2022 Apr;22(4):463-472. doi: 10.1016/S1473-3099(21)00746-5. Epub 2021 Dec 22.,Lewnard JA,Lancet Infect Dis,2022,2021/12/26,PMC8694707,,10.1016/S1473-3099(21)00746-5
31,34950910,Yes,Agent-based,General (theoretical model),The non-linear impact of data handling on network diffusion models,"Nevin J, Lees M, Groth P.",Patterns (N Y). 2021 Nov 26;2(12):100397. doi: 10.1016/j.patter.2021.100397. eCollection 2021 Dec 10.,Nevin J,Patterns (N Y),2021,2021/12/24,PMC8672192,,10.1016/j.patter.2021.100397
32,34948902,Yes,Spatiotemporal,Covid-19,A Novel Predictor for Micro-Scale COVID-19 Risk Modeling: An Empirical Study from a Spatiotemporal Perspective,"Zhang S, Wang M, Yang Z, Zhang B.",Int J Environ Res Public Health. 2021 Dec 16;18(24):13294. doi: 10.3390/ijerph182413294.,Zhang S,Int J Environ Res Public Health,2021,2021/12/24,PMC8704640,,10.3390/ijerph182413294
33,34938933,Yes,Spatiotemporal,Covid-19,Tracking and Controlling the Spatiotemporal Spread of SARS-CoV-2 Lineage B.1.1.7 in COVID-19 Reopenings,"Tong C, Shi W, Zhang A, Shi Z.",Geohealth. 2021 Dec 1;5(12):e2021GH000517. doi: 10.1029/2021GH000517. eCollection 2021 Dec.,Tong C,Geohealth,2021,2021/12/23,PMC8665480,,10.1029/2021GH000517
34,34936666,Yes,Spatiotemporal,Covid-19,"Associations between COVID-19 mobility restrictions and economic, mental health, and suicide-related concerns in the US using cellular phone GPS and Google search volume data","Gimbrone C, Rutherford C, Kandula S, Martínez-Alés G, Shaman J, Olfson M, Gould MS, Pei S, Galanti M, Keyes KM.",PLoS One. 2021 Dec 22;16(12):e0260931. doi: 10.1371/journal.pone.0260931. eCollection 2021.,Gimbrone C,PLoS One,2021,2021/12/22,PMC8694413,,10.1371/journal.pone.0260931
35,34936650,Yes,Compartmental,Covid-19,Assessing vaccination priorities for different ages and age-specific vaccination strategies of COVID-19 using an SEIR modelling approach,"Yang C, Yang Y, Li Y.",PLoS One. 2021 Dec 22;16(12):e0261236. doi: 10.1371/journal.pone.0261236. eCollection 2021.,Yang C,PLoS One,2021,2021/12/22,PMC8694484,,10.1371/journal.pone.0261236
36,34934870,Yes,Compartmental,Covid-19,Inverse problem for adaptive SIR model: Application to COVID-19 in Latin America,"Marinov TT, Marinova RS.",Infect Dis Model. 2022 Mar;7(1):134-148. doi: 10.1016/j.idm.2021.12.001. Epub 2021 Dec 16.,Marinov TT,Infect Dis Model,2022,2021/12/22,PMC8674112,,10.1016/j.idm.2021.12.001
37,34934420,Yes,Time Series,Covid-19,Novel Prediction Model for COVID-19 in Saudi Arabia Based on an LSTM Algorithm,"Alkhammash EH, Algethami H, Alshahrani R.",Comput Intell Neurosci. 2021 Dec 18;2021:6089677. doi: 10.1155/2021/6089677. eCollection 2021.,Alkhammash EH,Comput Intell Neurosci,2021,2021/12/22,PMC8684576,,10.1155/2021/6089677
38,34933883,Yes,Agent-based,Covid-19,Estimating the effect of timetabling decisions on the spread of SARS-CoV-2 in medium-to-large engineering schools in Canada: an agent-based modelling study,"Brennan RW, Nelson N, Paul R.",CMAJ Open. 2021 Dec 21;9(4):E1252-E1259. doi: 10.9778/cmajo.20200280. Print 2021 Oct-Dec.,Brennan RW,CMAJ Open,2021,2021/12/22,PMC8695572,,10.9778/cmajo.20200280
39,34932931,Yes,Agent-based,Covid-19,Agent-based simulations for protecting nursing homes with prevention and vaccination strategies,"Lasser J, Zuber J, Sorger J, Dervic E, Ledebur K, Lindner SD, Klager E, Kletečka-Pulker M, Willschke H, Stangl K, Stadtmann S, Haslinger C, Klimek P, Wochele-Thoma T.",J R Soc Interface. 2021 Dec;18(185):20210608. doi: 10.1098/rsif.2021.0608. Epub 2021 Dec 22.,Lasser J,J R Soc Interface,2021,2021/12/21,PMC8692030,,10.1098/rsif.2021.0608
40,34932762,Yes,Time Series,Chagas,"Seropositivity for Chagas disease in blood donors from the state of Alagoas, Northeastern Brazil: an 11-year time series study","Abreu SLDC, Bezerra-Santos M, Damasceno FS.",Rev Soc Bras Med Trop. 2021 Dec 17;54:e03392021. doi: 10.1590/0037-8682-0339-2021. eCollection 2021.,Abreu SLDC,Rev Soc Bras Med Trop,2021,2021/12/21,PMC8687493,,10.1590/0037-8682-0339-2021
41,34932560,Yes,Agent-based,Polio,Multiscale model for forecasting Sabin 2 vaccine virus household and community transmission,"Famulare M, Wong W, Haque R, Platts-Mills JA, Saha P, Aziz AB, Ahmed T, Islam MO, Uddin MJ, Bandyopadhyay AS, Yunus M, Zaman K, Taniuchi M.",PLoS Comput Biol. 2021 Dec 21;17(12):e1009690. doi: 10.1371/journal.pcbi.1009690. eCollection 2021 Dec.,Famulare M,PLoS Comput Biol,2021,2021/12/21,PMC8726461,,10.1371/journal.pcbi.1009690
42,34931157,Yes,Spatiotemporal,Covid-19,Discovering spatial-temporal patterns via complex networks in investigating COVID-19 pandemic in the United States,"Pan Y, Zhang L, Unwin J, Skibniewski MJ.",Sustain Cities Soc. 2022 Feb;77:103508. doi: 10.1016/j.scs.2021.103508. Epub 2021 Nov 10.,Pan Y,Sustain Cities Soc,2022,2021/12/21,PMC8674122,,10.1016/j.scs.2021.103508
43,34931105,Yes,Compartmental,General (theoretical model),Modeling and simulation of microblog-based public health emergency-associated public opinion communication,"Zhao J, He H, Zhao X, Lin J.",Inf Process Manag. 2022 Mar;59(2):102846. doi: 10.1016/j.ipm.2021.102846. Epub 2021 Dec 16.,Zhao J,Inf Process Manag,2022,2021/12/21,PMC8674963,,10.1016/j.ipm.2021.102846
44,34930317,Yes,Time Series,Multiple different agents,Impact of COVID-19 on routine malaria indicators in rural Uganda: an interrupted time series analysis,"Namuganga JF, Briggs J, Roh ME, Okiring J, Kisambira Y, Sserwanga A, Kapisi JA, Arinaitwe E, Ebong C, Ssewanyana I, Maiteki-Ssebuguzi C, Kamya MR, Staedke SG, Dorsey G, Nankabirwa JI.",Malar J. 2021 Dec 20;20(1):475. doi: 10.1186/s12936-021-04018-0.,Namuganga JF,Malar J,2021,2021/12/21,PMC8685800,,10.1186/s12936-021-04018-0
45,34930265,Yes,Spatiotemporal,Malaria,Maplaria: a user friendly web-application for spatio-temporal malaria prevalence mapping,"Giorgi E, Macharia PM, Woodmansey J, Snow RW, Rowlingson B.",Malar J. 2021 Dec 20;20(1):471. doi: 10.1186/s12936-021-04011-7.,Giorgi E,Malar J,2021,2021/12/21,PMC8686323,,10.1186/s12936-021-04011-7
46,34930128,Yes,Spatiotemporal,Malaria,Bayesian spatio-temporal distributed lag modeling for delayed climatic effects on sparse malaria incidence data,"Rotejanaprasert C, Ekapirat N, Sudathip P, Maude RJ.",BMC Med Res Methodol. 2021 Dec 20;21(1):287. doi: 10.1186/s12874-021-01480-x.,Rotejanaprasert C,BMC Med Res Methodol,2021,2021/12/21,PMC8690908,,10.1186/s12874-021-01480-x
47,34926865,Yes,Compartmental,Covid-19,COVID-19 disease spread modeling by QSIR method: The parameter optimal control approach,Hari Prasad PS.,Clin Epidemiol Glob Health. 2022 Jan-Feb;13:100934. doi: 10.1016/j.cegh.2021.100934. Epub 2021 Dec 14.,Hari Prasad PS,Clin Epidemiol Glob Health,2022,2021/12/20,PMC8668862,,10.1016/j.cegh.2021.100934
48,34923119,Yes,Spatiotemporal,Covid-19,"Trajectory Modeling of Spatio-Temporal Trends in COVID-19 Incidence in Flint and Genesee County, Michigan","Wojciechowski TW, Sadler RC, Buchalski Z, Harris A, Lederer D, Furr-Holden CD.",Ann Epidemiol. 2022 Mar;67:29-34. doi: 10.1016/j.annepidem.2021.12.005. Epub 2021 Dec 16.,Wojciechowski TW,Ann Epidemiol,2022,2021/12/19,PMC8675143,,10.1016/j.annepidem.2021.12.005
49,34922976,Yes,Compartmental,Covid-19,"Optimal control of the SIR model with constrained policy, with an application to COVID-19","Ding Y, Schellhorn H.",Math Biosci. 2022 Feb;344:108758. doi: 10.1016/j.mbs.2021.108758. Epub 2021 Dec 16.,Ding Y,Math Biosci,2022,2021/12/19,PMC8675184,,10.1016/j.mbs.2021.108758
50,34922496,Yes,Time Series,TB and mycobacteria,Tuberculosis forecasting and temporal trends by sex and age in a high endemic city in northeastern Brazil: where were we before the Covid-19 pandemic?,"de Andrade HLP, Gomes D, Ramos ACV, Arroyo LH, Santos-Neto M, Palha PF, Fiorati RC, Fronteira I, Monroe AA, Dos Santos MS, Fuentealba-Torres M, Yamamura M, Crispim JA, Arcêncio RA.",BMC Infect Dis. 2021 Dec 18;21(1):1260. doi: 10.1186/s12879-021-06978-9.,de Andrade HLP,BMC Infect Dis,2021,2021/12/19,PMC8684249,,10.1186/s12879-021-06978-9
51,34921175,Yes,Compartmental,Covid-19,Predicting regional COVID-19 hospital admissions in Sweden using mobility data,"Gerlee P, Karlsson J, Fritzell I, Brezicka T, Spreco A, Timpka T, Jöud A, Lundh T.",Sci Rep. 2021 Dec 17;11(1):24171. doi: 10.1038/s41598-021-03499-y.,Gerlee P,Sci Rep,2021,2021/12/18,PMC8683437,,10.1038/s41598-021-03499-y
52,34921080,Yes,Spatiotemporal,Covid-19,"Transmission of COVID-19 from community to healthcare agencies and back to community: a retrospective study of data from Wuhan, China","Yang M, Li A, Xie G, Pang Y, Zhou X, Jin Q, Dai J, Yan Y, Guo Y, Liu X.",BMJ Open. 2021 Dec 17;11(12):e053068. doi: 10.1136/bmjopen-2021-053068.,Yang M,BMJ Open,2021,2021/12/18,PMC8688731,,10.1136/bmjopen-2021-053068
53,34919977,Yes,Time Series,Covid-19,Time series analysis and predicting COVID-19 affected patients by ARIMA model using machine learning,"Chyon FA, Suman MNH, Fahim MRI, Ahmmed MS.",J Virol Methods. 2022 Mar;301:114433. doi: 10.1016/j.jviromet.2021.114433. Epub 2021 Dec 14.,Chyon FA,J Virol Methods,2022,2021/12/17,PMC8669956,,10.1016/j.jviromet.2021.114433
54,34919576,Yes,Compartmental,Covid-19,Estimating the impact of interventions against COVID-19: From lockdown to vaccination,"Thompson J, Wattam S.",PLoS One. 2021 Dec 17;16(12):e0261330. doi: 10.1371/journal.pone.0261330. eCollection 2021.,Thompson J,PLoS One,2021,2021/12/17,PMC8683038,,10.1371/journal.pone.0261330
55,34917836,Yes,Time Series,Influenza illnesses,Regional Distribution of Non-human H7N9 Avian Influenza Virus Detections in China and Construction of a Predictive Model,"Huang Z, Li H, Huang B.",J Vet Res. 2021 Jul 5;65(3):253-264. doi: 10.2478/jvetres-2021-0034. eCollection 2021 Sep.,Huang Z,J Vet Res,2021,2021/12/17,PMC8643092,,10.2478/jvetres-2021-0034
56,34912038,Yes,Compartmental,Covid-19,A novel hybrid SEIQR model incorporating the effect of quarantine and lockdown regulations for COVID-19,"Prabakaran R, Jemimah S, Rawat P, Sharma D, Gromiha MM.",Sci Rep. 2021 Dec 15;11(1):24073. doi: 10.1038/s41598-021-03436-z.,Prabakaran R,Sci Rep,2021,2021/12/16,PMC8674241,,10.1038/s41598-021-03436-z
57,34908637,Yes,Compartmental,Covid-19,R (0) estimation for COVID-19 pandemic through exponential fit,"Mingliang Z, Simos TE, Tsitouras C.",Math Methods Appl Sci. 2021 Oct 12:10.1002/mma.7878. doi: 10.1002/mma.7878. Online ahead of print.,Mingliang Z,Math Methods Appl Sci,2021,2021/12/15,PMC8662303,,10.1002/mma.7878
58,34908636,Yes,Compartmental,Covid-19,Mathematical modeling of the spread of the coronavirus under strict social restrictions,"Al-Arydah M, Berhe H, Dib K, Madhu K.",Math Methods Appl Sci. 2021 Nov 18:10.1002/mma.7965. doi: 10.1002/mma.7965. Online ahead of print.,Al-Arydah M,Math Methods Appl Sci,2021,2021/12/15,PMC8662116,,10.1002/mma.7965
59,34908634,Yes,Compartmental,Covid-19,A fractional-order model of coronavirus disease 2019 (COVID-19) with governmental action and individual reaction,"Danane J, Hammouch Z, Allali K, Rashid S, Singh J.",Math Methods Appl Sci. 2021 Aug 25:10.1002/mma.7759. doi: 10.1002/mma.7759. Online ahead of print.,Danane J,Math Methods Appl Sci,2021,2021/12/15,PMC8661979,,10.1002/mma.7759
60,34908628,Yes,Compartmental,Covid-19,Prediction of asymptomatic COVID-19 infections based on complex network,"Chen Y, He H, Liu D, Zhang X, Wang J, Yang Y.",Optim Control Appl Methods. 2021 Oct 21:10.1002/oca.2806. doi: 10.1002/oca.2806. Online ahead of print.,Chen Y,Optim Control Appl Methods,2021,2021/12/15,PMC8661857,,10.1002/oca.2806
61,34907208,Yes,Time Series,Covid-19,Estimating the SARS-CoV-2 infected population fraction and the infection-to-fatality ratio: a data-driven case study based on Swedish time series data,"Wacker A, Jöud A, Bernhardsson B, Gerlee P, Gustafsson F, Soltesz K.",Sci Rep. 2021 Dec 14;11(1):23963. doi: 10.1038/s41598-021-03269-w.,Wacker A,Sci Rep,2021,2021/12/15,PMC8671402,,10.1038/s41598-021-03269-w
62,34903655,Yes,Spatiotemporal,Covid-19,Can auxiliary indicators improve COVID-19 forecasting and hotspot prediction?,"McDonald DJ, Bien J, Green A, Hu AJ, DeFries N, Hyun S, Oliveira NL, Sharpnack J, Tang J, Tibshirani R, Ventura V, Wasserman L, Tibshirani RJ.",Proc Natl Acad Sci U S A. 2021 Dec 21;118(51):e2111453118. doi: 10.1073/pnas.2111453118.,McDonald DJ,Proc Natl Acad Sci U S A,2021,2021/12/14,PMC8713796,,10.1073/pnas.2111453118
63,34901733,Yes,Compartmental,Covid-19,Extended SEIR Model for Health Policies Assessment Against the COVID-19 Pandemic: the Case of Argentina,"Inthamoussou FA, Valenciaga F, Núñez S, Garelli F.",J Healthc Inform Res. 2022;6(1):91-111. doi: 10.1007/s41666-021-00110-x. Epub 2021 Dec 7.,Inthamoussou FA,J Healthc Inform Res,2022,2021/12/13,PMC8650742,,10.1007/s41666-021-00110-x
64,34900929,Yes,Time Series,Dengue,Forecasting Dengue Hotspots Associated With Variation in Meteorological Parameters Using Regression and Time Series Models,"Patil S, Pandya S.",Front Public Health. 2021 Nov 26;9:798034. doi: 10.3389/fpubh.2021.798034. eCollection 2021.,Patil S,Front Public Health,2021,2021/12/13,PMC8661059,,10.3389/fpubh.2021.798034
65,34900606,Yes,Compartmental,Covid-19,A mathematical model of COVID-19 transmission,"Jayatilaka R, Patel R, Brar M, Tang Y, Jisrawi NM, Chishtie F, Drozd J, Valluri SR.",Mater Today Proc. 2022;54:101-112. doi: 10.1016/j.matpr.2021.11.480. Epub 2021 Dec 4.,Jayatilaka R,Mater Today Proc,2022,2021/12/13,PMC8642156,,10.1016/j.matpr.2021.11.480
66,34899057,Yes,Compartmental,Covid-19,Dynamical analysis of novel COVID-19 epidemic model with non-monotonic incidence function,"Prem Kumar R, Basu S, Ghosh D, Santra PK, Mahapatra GS.",J Public Aff. 2021 Sep 2:e2754. doi: 10.1002/pa.2754. Online ahead of print.,Prem Kumar R,J Public Aff,2021,2021/12/13,PMC8646909,,10.1002/pa.2754
